Player,Team,threep,threes
Maurice Harkless,Trail Blazers,0.349,30.77
Trevor Booker,Nets,0.321,13.22
Gorgui Dieng,Timberwolves,0.41,5.91
Shabazz Muhammad,Timberwolves,0.329,24.33
Jamal Murray,Nuggets,0.345,45.8
Ty Lawson,Kings,0.301,21.65
Richaun Holmes,76ers,0.355,18.45
Jeremy Lamb,Hornets,0.283,29.47
Kenneth Faried,Nuggets,0,0.96
E'Twaun Moore,Pelicans,0.376,33.06
Patrick Beverley,Rockets,0.384,52.5
Derrick Favors,Jazz,0.3,2.4
Patty Mills,Spurs,0.413,57.23
Nik Stauskas,76ers,0.37,56.28
Michael Beasley,Bucks,0.419,10.62
Brandon Ingram,Lakers,0.298,26.54
Ish Smith,Pistons,0.272,13.77
Jeff Green,Magic,0.285,33.33
Cory Joseph,Raptors,0.358,20.3
Gerald Henderson,76ers,0.355,30.78
Marquese Chriss,Suns,0.323,35.28
Michael Kidd-Gilchrist,Hornets,0.143,1.13
Joe Johnson,Jazz,0.407,41.35
Jameer Nelson,Nuggets,0.391,44.94
Channing Frye,Cavaliers,0.41,64.11
Nene,Rockets,0.333,2.27
Montrezl Harrell,Rockets,0.167,1.74
Jodie Meeks,Magic,0.412,53.13
Tony Allen,Grizzlies,0.278,9.08
Kelly Olynyk,Celtics,0.342,37.47
Evan Turner,Trail Blazers,0.263,21.42
Dahntay Jones,Cavaliers,0,25
Doug McDermott,Thunder,0.37,41.77
JaMychal Green,Grizzlies,0.39,28.37
DeMarre Carroll,Raptors,0.344,57.85
Skal Labissiere,Kings,0.375,3.69
Nerlens Noel,Mavericks,0,0.32
Al-Farouq Aminu,Trail Blazers,0.333,45.06
Shawn Long,76ers,0.368,17.59
Marreese Speights,Clippers,0.377,50
Rondae Hollis-Jefferson,Nets,0.227,12.2
J.R. Smith,Cavaliers,0.353,75.77
Tony Snell,Bucks,0.405,65.37
Monta Ellis,Pacers,0.315,23.42
Tyson Chandler,Suns,0,0
Arron Afflalo,Kings,0.413,35.8
Norman Powell,Raptors,0.326,33.99
Joe Harris,Nets,0.386,60.94
